012519 066_csd Report.txt
2019-05-12, Time 20:56:37
2976 datapoints, 14 channels.

Onset Latency:
1: 120.3552017211914
2: 123.68160247802734
3: 118.84320068359375
4: 120.25440216064453
5: 121.76640319824219
6: 124.08480072021484
7: 127.81440734863281
8: 123.0768051147461
9: 120.55680084228516
10: 110.57760620117188
11: (?)
12: 129.5279998779297
13: (?)
14: 127.00800323486328

Initial Peak (+ 5 ms):
1: 124.99200439453125
2: 128.52000427246094
3: 123.68160247802734
4: 125.09280395507812
5: 124.58880615234375
6: 127.71360778808594
7: 129.0240020751953
8: 122.97600555419922
9: 124.08480072021484
10: 110.57760620117188
11: 0.0
12: 134.26560974121094
13: 0.0
14: 131.84640502929688

Max Peak (+ 25 ms):
1: 133.05599975585938
2: 135.6768035888672
3: 130.5360107421875
4: 128.3184051513672
5: 124.58880615234375
6: 148.98240661621094
7: 143.94239807128906
8: 122.97600555419922
9: 132.552001953125
10: 110.57760620117188
11: 0.0
12: 141.22080993652344
13: 0.0
14: 132.1488037109375

