101808 105_csd Report.txt
2019-05-13, Time 14:44:38
1500 datapoints, 14 channels.

Onset Latency:
1: 111.0
2: 109.39999389648438
3: 109.79999542236328
4: 115.0
5: 109.79999542236328
6: 108.19999694824219
7: 108.5999984741211
8: 108.19999694824219
9: 108.39999389648438
10: 111.5999984741211
11: 119.5999984741211
12: 111.39999389648438
13: 112.79999542236328
14: (?)

Initial Peak (+ 5 ms):
1: 115.5999984741211
2: 114.0
3: 114.39999389648438
4: 119.5999984741211
5: 114.19999694824219
6: 110.5999984741211
7: 113.19999694824219
8: 111.5999984741211
9: 111.79999542236328
10: 114.19999694824219
11: 119.39999389648438
12: 111.5999984741211
13: 115.19999694824219
14: 0.0

Max Peak (+ 25 ms):
1: 121.5999984741211
2: 121.79999542236328
3: 115.39999389648438
4: 125.5999984741211
5: 115.79999542236328
6: 110.5999984741211
7: 113.5999984741211
8: 111.5999984741211
9: 111.79999542236328
10: 121.39999389648438
11: 135.0
12: 111.5999984741211
13: 119.39999389648438
14: 0.0

