012519 059_csd Report.txt
2019-05-13, Time 15:15:14
2976 datapoints, 14 channels.

Onset Latency:
1: 115.92000579833984
2: 120.3552017211914
3: 115.41600036621094
4: 110.37600708007812
5: 101.00160217285156
6: 111.88800048828125
7: 124.18560791015625
8: 111.78720092773438
9: 101.30400085449219
10: 101.30400085449219
11: (?)
12: 105.03360748291016
13: 101.50559997558594
14: 123.4800033569336

Initial Peak Amplitude (+ 5 ms):
1: -6.3029046058654785
2: 6.615947246551514
3: 10.5272855758667
4: -1.212512731552124
5: 0.7144823670387268
6: 3.606187105178833
7: -1.949356198310852
8: 1.9110355377197266
9: -0.45931822061538696
10: 0.4712500274181366
11: 0.0
12: -0.5948106646537781
13: 1.1554546356201172
14: -0.5255934596061707

Max Peak Amplitude (+ 25 ms):
1: -19.187904357910156
2: 15.100948333740234
3: 32.10228729248047
4: -7.666263103485107
5: 1.8057324886322021
6: 5.814937114715576
7: -3.4018561840057373
8: -3.3564648628234863
9: -2.3068182468414307
10: -0.7575000524520874
11: 0.0
12: 0.7189394235610962
13: 1.1554546356201172
14: 0.6169065833091736

Max Peak Latency (+ 25 ms):
1: 131.74560546875
2: 143.13600158691406
3: 130.939208984375
4: 124.99200439453125
5: 125.193603515625
6: 122.57280731201172
7: 137.99520874023438
8: 132.9552001953125
9: 122.87520599365234
10: 125.39520263671875
11: 0.0
12: 115.01280212402344
13: 106.0416030883789
14: 141.0192108154297

Initial Max Slope (+ 5 ms):
1: 666
2: 666
3: 666
4: 666
5: 666
6: 666
7: 666
8: 666
9: 666
10: 666
11: 0.0
12: 666
13: 666
14: 666

