012519 094_csd Report.txt
2019-05-13, Time 14:44:38
2976 datapoints, 14 channels.

Onset Latency:
1: 106.34400177001953
2: 103.32000732421875
3: 104.731201171875
4: 117.53280639648438
5: 107.75520324707031
6: 102.71520233154297
7: 122.6736068725586
8: 108.56160736083984
9: (?)
10: 115.61760711669922
11: 107.45280456542969
12: 119.85120391845703
13: 105.2352066040039
14: 125.09280395507812

Initial Peak (+ 5 ms):
1: 106.4448013305664
2: 103.21920013427734
3: 105.13440704345703
4: 118.03680419921875
5: 108.25920104980469
6: 105.53760528564453
7: 125.5968017578125
8: 113.4000015258789
9: 0.0
10: 116.9280014038086
11: 107.45280456542969
12: 121.46400451660156
13: 107.35200500488281
14: 125.39520263671875

Max Peak (+ 25 ms):
1: 131.14080810546875
2: 103.21920013427734
3: 126.40320587158203
4: 132.45120239257812
5: 118.13760375976562
6: 126.5040054321289
7: 147.5712127685547
8: 117.73440551757812
9: 0.0
10: 116.9280014038086
11: 116.72640228271484
12: 121.46400451660156
13: 107.35200500488281
14: 146.26080322265625

