101808 133_csd Report.txt
2019-05-13, Time 14:44:38
1500 datapoints, 14 channels.

Onset Latency:
1: 112.0
2: 112.0
3: 110.19999694824219
4: 113.79999542236328
5: 109.5999984741211
6: 110.19999694824219
7: 109.0
8: 108.5999984741211
9: 109.19999694824219
10: (?)
11: 111.79999542236328
12: 110.19999694824219
13: 114.5999984741211
14: (?)

Initial Peak (+ 5 ms):
1: 116.5999984741211
2: 116.5999984741211
3: 114.79999542236328
4: 118.39999389648438
5: 114.19999694824219
6: 113.79999542236328
7: 113.5999984741211
8: 113.0
9: 112.19999694824219
10: 0.0
11: 115.5999984741211
12: 110.0
13: 117.5999984741211
14: 0.0

Max Peak (+ 25 ms):
1: 119.19999694824219
2: 121.79999542236328
3: 116.79999542236328
4: 120.19999694824219
5: 115.5999984741211
6: 113.79999542236328
7: 120.39999389648438
8: 115.0
9: 112.19999694824219
10: 0.0
11: 118.5999984741211
12: 128.8000030517578
13: 117.5999984741211
14: 0.0

