012519 062_csd Report.txt
2019-05-13, Time 14:44:37
2976 datapoints, 14 channels.

Onset Latency:
1: 116.9280014038086
2: 120.45600128173828
3: 118.44000244140625
4: 115.41600036621094
5: 110.57760620117188
6: 110.67840576171875
7: 100.49760437011719
8: 109.67040252685547
9: 111.78720092773438
10: 106.34400177001953
11: 110.77920532226562
12: 112.29120635986328
13: 102.11040496826172
14: 101.90880584716797

Initial Peak (+ 5 ms):
1: 121.26240539550781
2: 125.29440307617188
3: 123.27840423583984
4: 120.25440216064453
5: 114.81120300292969
6: 115.11360168457031
7: 102.31200408935547
8: 114.50880432128906
9: 115.61760711669922
10: 110.8800048828125
11: 115.41600036621094
12: 116.02080535888672
13: 102.00960540771484
14: 106.74720001220703

Max Peak (+ 25 ms):
1: 131.04000854492188
2: 144.74880981445312
3: 132.9552001953125
4: 126.5040054321289
5: 129.5279998779297
6: 121.36320495605469
7: 116.9280014038086
8: 119.85120391845703
9: 118.84320068359375
10: 128.52000427246094
11: 117.93600463867188
12: 117.93600463867188
13: 117.12960052490234
14: 126.5040054321289

