012519 066_csd Report.txt
2019-05-21, Time 04:58:25
2976 datapoints, 14 channels.

Onset Latency:
1: 100.80000305175781
2: 121.76640319824219
3: 118.84320068359375
4: 118.54080200195312
5: 120.75840759277344
6: 103.32000732421875
7: 103.21920013427734
8: 123.0768051147461
9: 102.00960540771484
10: 110.476806640625
11: (?)
12: 113.29920196533203
13: (?)
14: 106.0416030883789

Initial Peak Amplitude (+ 5 ms):
1: -0.7917550802230835
2: 5.788219928741455
3: 7.367071151733398
4: -3.6266543865203857
5: -2.0986363887786865
6: -1.0316035747528076
7: 0.7306944727897644
8: 1.277828335762024
9: -0.3854166865348816
10: -0.47883841395378113
11: 0.0
12: 0.5601389408111572
13: 0.0
14: -1.0078662633895874

Max Peak Amplitude (+ 25 ms):
1: -5.740505218505859
2: 14.108221054077148
3: 21.10082244873047
4: -9.339154243469238
5: -2.0986363887786865
6: 1.6658965349197388
7: -1.1093056201934814
8: 1.277828335762024
9: -0.8166667222976685
10: -0.47883841395378113
11: 0.0
12: 1.3238890171051025
13: 0.0
14: -1.3703662157058716

Max Peak Latency (+ 25 ms):
1: 125.69760131835938
2: 135.6768035888672
3: 130.5360107421875
4: 128.3184051513672
5: 124.58880615234375
6: 127.71360778808594
7: 110.98080444335938
8: 122.97600555419922
9: 124.08480072021484
10: 110.57760620117188
11: 0.0
12: 135.77760314941406
13: 0.0
14: 117.02880096435547

Initial Max Slope (+ 5 ms):
1: 2.128812328911848
2: 6.603201277199622
3: 4.464303284892522
4: -3.695452051165607
5: -2.4863700346985693
6: 0.9838006326319507
7: -1.2648865417486628
8: -1.1346776663733726
9: 1.09540831269139
10: 1.2152832105164812
11: 0.0
12: 1.5935091116267408
13: 0.0
14: -1.1532355723746452

