012519 062_csd Report.txt
2019-05-21, Time 04:58:25
2976 datapoints, 14 channels.

Onset Latency:
1: 116.9280014038086
2: 120.45600128173828
3: 118.44000244140625
4: 115.41600036621094
5: 110.57760620117188
6: 110.67840576171875
7: 100.49760437011719
8: 109.67040252685547
9: 111.78720092773438
10: 106.34400177001953
11: 110.77920532226562
12: 112.29120635986328
13: 102.11040496826172
14: 101.90880584716797

Initial Peak Amplitude (+ 5 ms):
1: -5.200164318084717
2: 8.263800621032715
3: 11.965341567993164
4: -3.72381329536438
5: -1.7956187725067139
6: 4.384368896484375
7: 1.266805648803711
8: 2.205934524536133
9: -1.61305570602417
10: -0.512323260307312
11: 0.5071717500686646
12: -0.8976641893386841
13: -0.6834091544151306
14: 0.5111111402511597

Max Peak Amplitude (+ 25 ms):
1: -19.47516632080078
2: 19.07130241394043
3: 30.40534210205078
4: -8.137563705444336
5: 3.28188157081604
6: 7.3956193923950195
7: 1.55055570602417
8: 2.599684476852417
9: -2.3780558109283447
10: -1.0898232460021973
11: 0.7284217476844788
12: -1.0526641607284546
13: -1.119659185409546
14: 1.874861240386963

Max Peak Latency (+ 25 ms):
1: 131.04000854492188
2: 144.74880981445312
3: 132.9552001953125
4: 126.5040054321289
5: 129.5279998779297
6: 121.36320495605469
7: 116.9280014038086
8: 119.85120391845703
9: 118.84320068359375
10: 128.52000427246094
11: 117.93600463867188
12: 117.93600463867188
13: 117.12960052490234
14: 126.5040054321289

Initial Max Slope (+ 5 ms):
1: -3.0320068876778685
2: 5.257961512261581
3: 8.205228517004743
4: -3.4681042801998183
5: -1.9779355415531334
6: 2.182549481531941
7: 2.0399397209922796
8: 1.8105238135785648
9: -1.062339161368453
10: 0.7440508924178777
11: -1.0747402251602867
12: -1.7113169786463065
13: -1.4384984412844384
14: 1.016869503694558

